Wall time,Step,Value
1671630780.425287,4,1.096245288848877
1671630781.5758471,14,1.0834524631500244
1671630781.6917734,15,1.0812153816223145
1671630782.0356066,18,1.0731123685836792
1671630782.155081,19,1.0699293613433838
1671630782.9660654,26,1.0393842458724976
1671630783.0830216,27,1.0340280532836914
1671630784.6027513,40,0.959549069404602
1671630785.4213593,47,0.9186052083969116
1671630785.539885,48,0.9133407473564148
1671630785.6506495,49,0.9081665873527527
1671630786.2169588,54,0.8844010829925537
1671630787.013795,62,0.8510774374008179
1671630787.1028311,63,0.8475061655044556
1671630787.3666089,66,0.8375178575515747
1671630787.4552662,67,0.8341867923736572
1671630787.7304018,70,0.8254860043525696
1671630787.8218172,71,0.8228927254676819
1671630788.3653321,77,0.8084782958030701
1671630788.8188732,82,0.7993508577346802
1671630789.4626472,89,0.7894185185432434
1671630790.3880212,99,0.7802859544754028
1671630790.7598624,103,0.7776496410369873
1671630791.1236355,107,0.7748526930809021
1671630792.4014158,121,0.768884003162384
1671630792.765426,125,0.7673168182373047
1671630792.8549778,126,0.7672423124313354
1671630793.0379255,128,0.7671480774879456
1671630793.2188852,130,0.7667967081069946
1671630793.7619784,136,0.7668011784553528
1671630794.4451942,144,0.7675521373748779
1671630794.6280565,146,0.767991304397583
1671630794.7196045,147,0.7684059143066406
1671630794.990697,150,0.7693089842796326
1671630795.5504344,157,0.7711274027824402
1671630795.792604,160,0.7686964273452759
1671630795.953937,162,0.768202006816864
1671630796.1140597,164,0.7686754465103149
1671630796.6559408,171,0.7699155211448669
1671630796.7376847,172,0.7689539790153503
1671630797.1503115,177,0.7682390809059143
1671630797.715324,184,0.7668622732162476
1671630797.7853918,185,0.7660930752754211
1671630798.2900105,191,0.7625060081481934
1671630798.3699248,192,0.7629128098487854
1671630799.254922,203,0.759002685546875
1671630799.4111133,205,0.757307231426239
1671630800.0306234,213,0.7454262375831604
1671630800.2021763,215,0.7441419959068298
1671630800.9167278,224,0.7380895614624023
1671630801.278603,229,0.7347502708435059
1671630802.457493,244,0.7177181839942932
1671630802.5273676,245,0.7173669934272766
1671630803.5140507,258,0.7132234573364258
1671630803.5951095,259,0.7137195467948914
1671630803.675498,260,0.7137720584869385
1671630804.488177,271,0.7185285091400146
1671630804.7324882,274,0.7231704592704773
1671630805.043258,278,0.7296558022499084
1671630805.357044,282,0.7292154431343079
1671630805.5987847,285,0.7215464115142822
1671630805.811535,288,0.7209523916244507
1671630805.9512184,290,0.7250675559043884
1671630806.3010798,295,0.729458749294281
1671630806.4546578,297,0.7298981547355652
1671630806.5346532,298,0.7285909652709961
1671630807.2960982,308,0.7319220304489136
1671630807.6169825,312,0.7304570078849792
1671630807.9242876,316,0.7370874285697937
1671630808.075257,318,0.7395500540733337
1671630808.1467202,319,0.7451305985450745
1671630808.3522108,322,0.7508456707000732
1671630809.4800742,337,0.7736871242523193
1671630810.1195004,345,0.7783476710319519
1671630810.1888256,346,0.7788804769515991
1671630811.1017492,358,0.7827045321464539
1671630811.548603,364,0.7899062633514404
1671630811.6309624,365,0.794080913066864
1671630811.7112262,366,0.7961971759796143
1671630812.606818,378,0.7900348901748657
1671630813.2489526,386,0.7680675387382507
1671630813.5385218,390,0.7739148736000061
1671630813.7029767,392,0.7756858468055725
1671630814.0857916,397,0.8172190189361572
1671630814.4532864,402,0.8195034265518188
1671630814.6132383,404,0.8172703981399536
1671630815.4760869,415,0.7635527849197388
1671630815.9183552,421,0.7682386636734009
1671630815.9876573,422,0.7663719058036804
1671630817.0116034,436,0.6775100827217102
1671630817.0850425,437,0.6672101616859436
1671630817.2243166,439,0.655549943447113
1671630817.6197166,444,0.6412039399147034
1671630817.7807846,446,0.6463353037834167
1671630818.2192016,452,0.6415204405784607
1671630818.5014188,456,0.6396884918212891
1671630818.851668,461,0.6064783930778503
1671630819.1497815,465,0.6062827706336975
1671630819.3907797,468,0.6094158291816711
1671630819.5430217,470,0.5874093174934387
1671630819.8403618,474,0.5893813371658325
1671630819.9131143,475,0.5872739553451538
1671630820.2654264,480,0.5668438673019409
1671630820.3321524,481,0.5552801489830017
1671630820.7581153,487,0.5285667777061462
1671630821.2686107,494,0.5078181028366089
1671630822.5643203,510,0.46125563979148865
1671630822.7132347,512,0.46033594012260437
1671630822.7805831,513,0.4641515910625458
1671630822.8657825,514,0.46071457862854004
1671630823.0813575,517,0.43435078859329224
1671630823.2230906,519,0.4462699592113495
1671630824.229402,533,0.4090416431427002
1671630824.3001947,534,0.4061198830604553
1671630824.456302,536,0.41403645277023315
1671630824.617491,538,0.420619934797287
1671630824.776431,540,0.42821648716926575
1671630825.0596876,544,0.44343212246894836
1671630825.1968436,546,0.4446895718574524
1671630825.4817178,550,0.4420047998428345
1671630825.6216667,552,0.43609586358070374
1671630825.9011917,556,0.42402908205986023
1671630826.3563814,562,0.41380220651626587
1671630826.496941,564,0.43333518505096436
