Al,Co,Cr,Fe,Ni,Cu,Mn,Si,V,Mo,Ta,Sn,Ti,Au,Nb,Hf,Zr,N,I,B,W,Ag,Nd,Hardness (HV),class
0.0,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0
0.0138067061143984,0.1972386587771203,0.1972386587771203,0.1972386587771203,0.1972386587771203,0.0,0.1972386587771203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0
0.0157480314960629,0.1968503937007873,0.1968503937007873,0.1968503937007873,0.1968503937007873,0.0,0.1968503937007873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0
0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.1818181818181818,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0
0.0,0.198807157057654,0.0,0.198807157057654,0.198807157057654,0.198807157057654,0.198807157057654,0.0,0.0,0.0,0.0,0.0059642147117296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0
0.0681818181818181,0.2272727272727273,0.2272727272727273,0.2272727272727273,0.2272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0
0.074074074074074,0.0,0.1851851851851851,0.1851851851851851,0.3703703703703703,0.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.7,0
0.087719298245614,0.175438596491228,0.175438596491228,0.175438596491228,0.175438596491228,0.175438596491228,0.0,0.0,0.0350877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0
0.0,0.198019801980198,0.0,0.198019801980198,0.198019801980198,0.198019801980198,0.198019801980198,0.0,0.0,0.0,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0
0.1428571428571428,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0
0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0
0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5,0
0.0,0.1968503937007873,0.0,0.1968503937007873,0.1968503937007873,0.1968503937007873,0.1968503937007873,0.0,0.0,0.0,0.0,0.0157480314960629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0
